id,name,country,birthday,weight,height,hand,backhand,turnedPro
peter-elter/e013,Peter Elter,GER,1958-06-10,77,178,right,unknown,NaN
jose-lopez-maeso/l039,Jose Lopez-Maeso,ESP,1956-12-24,66,173,right,unknown,NaN
gilles-moretton/m119,Gilles Moretton,FRA,1958-02-10,82,191,right,unknown,NaN
jimmy-arias/a031,Jimmy Arias,USA,1964-08-16,70,175,right,unknown,1980
matt-doyle/d039,Matt Doyle,IRL,1958-01-13,86,193,right,unknown,NaN
pablo-arraya/a035,Pablo Arraya,PER,1961-10-21,73,180,right,unknown,1980
chris-johnstone/j014,Chris Johnstone,AUS,1960-10-12,68,175,right,unknown,NaN
diego-perez/p021,Diego Perez,URU,1962-02-09,75,178,right,unknown,1981
david-carter/c072,David Carter,AUS,1956-04-21,75,183,right,unknown,NaN
anders-jarryd/j006,Anders Jarryd,SWE,1961-07-13,70,180,right,unknown,1980
henri-leconte/l014,Henri Leconte,FRA,1963-07-04,79,185,left,unknown,1980
chip-hooper/h033,Chip Hooper,USA,1958-10-24,95,198,right,unknown,NaN
jay-lapidus/l005,Jay Lapidus,USA,1959-05-01,86,188,left,unknown,1980
mark-dickson/d028,Mark Dickson,USA,1959-12-08,78,191,right,unknown,1982
hans-simonsson/s053,Hans Simonsson,SWE,1962-05-01,70,178,right,unknown,NaN
russell-simpson/s052,Russell Simpson,NZL,1954-02-22,79,188,right,unknown,NaN
henrik-sundstrom/s097,Henrik Sundstrom,SWE,1964-02-29,73,188,right,unknown,NaN
scott-davis/d004,Scott Davis,USA,1962-08-27,77,188,right,unknown,1983
pat-cash/c023,Pat Cash,AUS,1965-05-27,84,183,right,unknown,1982
mike-bauer/b023,Mike Bauer,USA,1959-06-29,84,188,right,unknown,1982
jimmy-brown/b074,Jimmy Brown,USA,1965-04-28,68,180,right,unknown,1981
eric-korita/k019,Eric Korita,USA,1963-01-13,93,196,right,unknown,NaN
roberto-arguello/a030,Roberto Arguello,ARG,1963-05-12,66,173,ambidextrous,unknown,0
stefan-edberg/e004,Stefan Edberg,SWE,1966-01-19,77,188,right,unknown,1983
libor-pimek/p032,Libor Pimek,BEL,1963-08-03,82,196,right,unknown,1982
stefan-simonsson/s051,Stefan Simonsson,SWE,1960-01-05,73,175,right,unknown,NaN
brad-gilbert/g016,Brad Gilbert,USA,1961-08-09,79,185,right,unknown,1982
thomas-hogstedt/h029,Thomas Hogstedt,SWE,1963-09-21,77,191,right,unknown,1981
juan-aguilera/a007,Juan Aguilera,ESP,1962-03-22,68,183,right,unknown,NaN
nduka-odizor/o006,Nduka Odizor,NGR,1958-08-09,75,183,right,unknown,NaN
wally-masur/m030,Wally Masur,AUS,1963-05-13,76,180,right,unknown,1982
claudio-panatta/p008,Claudio Panatta,ITA,1960-02-02,77,178,right,unknown,NaN
francesco-cancellotti/c013,Francesco Cancellotti,ITA,1963-02-27,75,183,right,unknown,NaN
sergio-casal/c024,Sergio Casal,ESP,1962-09-08,77,185,right,unknown,1981
eric-fromm/f047,Eric Fromm,USA,1958-06-27,77,178,right,unknown,NaN
glenn-michibata/m064,Glenn Michibata,CAN,1962-06-13,73,175,right,unknown,1983
cassio-motta/m092,Cassio Motta,BRA,1960-02-22,79,180,right,unknown,1979
florin-segarceanu/s033,Florin Segarceanu,ROU,1961-03-29,66,180,right,unknown,NaN
marty-davis/d005,Marty Davis,USA,1958-11-15,82,183,right,unknown,1980
roland-stadler/s077,Roland Stadler,SUI,1959-06-14,70,178,ambidextrous,unknown,NaN
zoltan-kuharszky/k031,Zoltan Kuharszky,HUN,1959-07-08,75,183,right,unknown,NaN
steve-meister/m056,Steve Meister,USA,1958-04-21,82,193,right,one-handed,1980
bernard-boileau/b054,Bernard Boileau,BEL,1959-05-25,75,185,right,unknown,NaN
mike-de-palmer/d021,Mike De Palmer,USA,1961-10-17,79,185,left,unknown,NaN
aaron-krickstein/k023,Aaron Krickstein,USA,1967-08-02,73,183,right,two-handed,1983
marko-ostoja/o025,Marko Ostoja,CRO,1960-10-20,70,175,right,unknown,NaN
jan-gunnarsson/g053,Jan Gunnarsson,SWE,1962-05-30,80,185,right,unknown,NaN
miloslav-mecir-sr./m052,Miloslav Mecir Sr.,SVK,1964-05-19,82,191,right,unknown,NaN
ben-testerman/t014,Ben Testerman,USA,1962-02-02,82,185,left,unknown,NaN
david-pate/p012,David Pate,USA,1962-04-16,77,183,right,unknown,1983
guy-forget/f035,Guy Forget,FRA,1965-01-04,80,191,left,unknown,1982
bob-green/g043,Bob Green,USA,1960-03-25,82,193,right,unknown,NaN
matt-mitchell/m071,Matt Mitchell,USA,1957-03-16,73,180,right,unknown,NaN
martin-jaite/j004,Martin Jaite,ARG,1964-10-09,70,178,right,unknown,1983
greg-holmes/h030,Greg Holmes,USA,1963-08-29,73,178,right,unknown,NaN
leif-shiras/s045,Leif Shiras,USA,1959-08-21,77,183,right,unknown,1981
alejandro-ganzabal/g001,Alejandro Ganzabal,ARG,1960-02-16,73,180,right,unknown,NaN
boris-becker/b028,Boris Becker,GER,1967-11-22,85,191,right,unknown,1984
john-frawley/f040,John Frawley,AUS,1965-07-04,75,173,right,unknown,NaN
trevor-allan/a017,Trevor Allan,AUS,1955-08-17,77,178,left,unknown,0
tarik-benhabiles/b037,Tarik Benhabiles,FRA,1965-02-05,64,175,right,unknown,NaN
danie-visser/v032,Danie Visser,RSA,1961-07-26,79,180,left,unknown,1982
michael-westphal/w014,Michael Westphal,GER,1965-02-19,78,191,right,unknown,NaN
shahar-perkiss/p018,Shahar Perkiss,ISR,1962-10-14,70,193,right,unknown,NaN
michiel-schapers/s021,Michiel Schapers,NED,1959-10-11,95,198,right,one-handed,1982
blaine-willenborg/w022,Blaine Willenborg,USA,1960-01-04,75,170,right,unknown,NaN
givaldo-barbosa/b015,Givaldo Barbosa,BRA,1954-01-25,70,183,right,unknown,NaN
peter-doohan/d036,Peter Doohan,AUS,1961-05-02,84,191,right,unknown,NaN
jaroslav-navratil/n010,Jaroslav Navratil,CZE,1957-07-24,82,196,right,unknown,NaN
hans-schwaier/s028,Hans Schwaier,GER,1964-03-24,66,173,right,unknown,NaN
horacio-de-la-pena/d008,Horacio De La Pena,ARG,1966-08-01,72,180,left,unknown,1984
jakob-hlasek/h025,Jakob Hlasek,SUI,1964-11-12,78,188,right,one-handed,1983
paul-annacone/a027,Paul Annacone,USA,1963-03-20,79,185,right,unknown,1984
mike-leach/l012,Mike Leach,USA,1960-03-09,75,180,left,one-handed,NaN
todd-nelson/n013,Todd Nelson,USA,1961-03-18,84,185,right,unknown,1983
lloyd-bourne/b066,Lloyd Bourne,USA,1958-10-18,82,191,right,unknown,NaN
matt-anger/a025,Matt Anger,USA,1963-06-20,77,188,right,unknown,1984
peter-lundgren/l044,Peter Lundgren,SWE,1965-01-29,80,185,right,unknown,1983
slobodan-zivojinovic/z006,Slobodan Zivojinovic,SRB,1963-07-23,100,198,right,unknown,NaN
bud-schultz/s018,Bud Schultz,USA,1959-08-21,84,193,right,unknown,NaN
jaime-yzaga/y017,Jaime Yzaga,PER,1967-10-23,68,170,right,unknown,1985
ronald-agenor/a006,Ronald Agenor,USA,1964-11-13,82,180,right,unknown,1983
kent-carlsson/c019,Kent Carlsson,SWE,1968-01-03,72,180,right,unknown,NaN
marian-vajda/v002,Marian Vajda,SVK,1965-03-24,88,170,right,unknown,NaN
larry-stefanki/s081,Larry Stefanki,USA,1957-07-23,68,178,right,unknown,NaN
robert-seguso/s034,Robert Seguso,USA,1963-05-01,82,191,right,unknown,NaN
ricardo-acuna/a002,Ricardo Acuna,CHI,1958-01-13,68,175,right,unknown,0
lawson-duncan/d044,Lawson Duncan,USA,1964-10-26,75,185,right,unknown,NaN
ken-flach/f029,Ken Flach,USA,1963-05-24,75,185,right,unknown,1983
emilio-sanchez/s014,Emilio Sanchez,ESP,1965-05-29,74,180,right,unknown,1984
francisco-maciel/m006,Francisco Maciel,MEX,1964-07-01,74,185,right,unknown,NaN
jonathan-canter/c011,Jonathan Canter,USA,1965-06-04,79,185,right,unknown,1983
marcelo-ingaramo/i003,Marcelo Ingaramo,ARG,1962-10-13,69,178,left,unknown,1982
christo-steyn/s084,Christo Steyn,RSA,1961-05-01,79,185,right,unknown,NaN
bruno-oresar/o018,Bruno Oresar,CRO,1967-04-21,67,175,right,unknown,NaN
amos-mansdorf/m012,Amos Mansdorf,ISR,1965-10-20,73,175,right,unknown,1983
damir-keretic/k008,Damir Keretic,GER,1960-03-26,68,178,right,unknown,NaN
kelly-evernden/e025,Kelly Evernden,NZL,1961-09-21,70,175,right,unknown,1985
leonardo-lavalle/l009,Leonardo Lavalle,MEX,1967-07-14,79,188,left,unknown,1985
simon-youl/y002,Simon Youl,AUS,1965-07-01,77,185,right,unknown,1982
martin-wostenholme/w038,Martin Wostenholme,CAN,1962-10-11,75,183,right,two-handed,NaN
julio-goes/g020,Julio Goes,BRA,1955-10-25,70,180,right,unknown,NaN
thomas-muster/m099,Thomas Muster,AUT,1967-10-02,77,180,left,one-handed,1985
jeremy-bates/b021,Jeremy Bates,GBR,1962-06-19,73,180,right,unknown,1982
mikael-pernfors/p024,Mikael Pernfors,SWE,1963-07-16,68,173,right,unknown,1985
jonas-svensson/s101,Jonas Svensson,SWE,1966-10-21,76,188,right,unknown,1985
milan-srejber/s072,Milan Srejber,CZE,1963-12-30,98,203,right,unknown,NaN
eric-jelen/j008,Eric Jelen,GER,1965-03-11,77,180,right,unknown,NaN
karel-novacek/n025,Karel Novacek,CZE,1965-03-30,82,191,right,unknown,1984
ulf-stenlund/s276,Ulf Stenlund,SWE,1967-01-21,70,180,right,unknown,NaN
andrei-chesnokov/c031,Andrei Chesnokov,RUS,1966-02-02,76,188,right,unknown,1985
horst-skoff/s055,Horst Skoff,AUT,1968-08-22,73,175,right,unknown,1985
paolo-cane/c012,Paolo Cane,ITA,1965-04-09,68,180,right,unknown,1983
gary-donnelly/d034,Gary Donnelly,USA,1962-06-03,82,191,right,unknown,NaN
marcel-freeman/f043,Marcel Freeman,USA,1960-03-30,66,173,right,unknown,NaN
todd-witsken/w029,Todd Witsken,USA,1963-11-04,79,183,right,unknown,1985
simone-colombo/c043,Simone Colombo,ITA,1963-08-28,75,180,right,unknown,1993
broderick-dyke/d049,Broderick Dyke,AUS,1960-12-31,85,180,left,two-handed,1982
christo-van-rensburg/v014,Christo Van Rensburg,RSA,1962-10-23,73,185,right,unknown,1983
derrick-rostagno/r043,Derrick Rostagno,USA,1965-10-25,75,185,right,unknown,1986
glenn-layendecker/l010,Glenn Layendecker,USA,1961-05-09,79,185,left,unknown,NaN
jean-philippe-fleurian/f031,Jean-Philippe Fleurian,FRA,1965-09-11,79,185,right,unknown,1985
eduardo-bengoechea/b035,Eduardo Bengoechea,ARG,1959-07-02,78,185,right,unknown,NaN
francisco-yunis/y003,Francisco Yunis,ARG,1964-08-12,80,191,right,unknown,1982
ivan-kley/k013,Ivan Kley,BRA,1958-06-29,79,183,right,unknown,NaN
jay-berger/b281,Jay Berger,USA,1966-11-26,75,180,right,unknown,1986
richard-matuszewski/m032,Richard Matuszewski,USA,1964-09-07,77,188,right,unknown,1986
andre-agassi/a092,Andre Agassi,USA,1970-04-29,80,180,right,two-handed,1986
brad-pearce/p014,Brad Pearce,USA,1966-03-21,70,175,right,unknown,1986
jim-grabb/g039,Jim Grabb,USA,1964-04-14,82,193,right,unknown,1986
luiz-mattar/m035,Luiz Mattar,BRA,1963-08-18,76,183,right,unknown,1985
christian-miniussi/m069,Christian Miniussi,ARG,1967-07-05,75,185,right,unknown,1984
jordi-arrese/a034,Jordi Arrese,ESP,1964-08-29,64,175,right,unknown,1982
jim-pugh/p052,Jim Pugh,USA,1964-02-05,82,193,right,unknown,1985
stefan-eriksson/e022,Stefan Eriksson,SWE,1963-10-17,85,193,right,unknown,NaN
guillermo-perez-roldan/p190,Guillermo Perez-Roldan,ARG,1969-10-20,78,178,right,unknown,1986
claudio-mezzadri/m063,Claudio Mezzadri,SUI,1965-06-10,76,183,right,unknown,1983
carl-uwe-steeb/s080,Carl-Uwe Steeb,GER,1967-09-01,75,180,left,unknown,1986
dan-goldie/g022,Dan Goldie,USA,1963-10-03,79,188,right,unknown,NaN
magnus-gustafsson/g182,Magnus Gustafsson,SWE,1967-01-03,78,185,right,unknown,1986
tore-meinecke/m057,Tore Meinecke,GER,1967-07-21,73,180,right,unknown,NaN
mark-woodforde/w035,Mark Woodforde,AUS,1965-09-23,88,188,left,two-handed,1984
gary-muller/m096,Gary Muller,RSA,1964-12-27,82,191,left,unknown,1985
christian-bergstrom/b040,Christian Bergstrom,SWE,1967-07-19,68,180,right,unknown,1985
ricki-osterthun/o026,Ricki Osterthun,GER,1964-05-02,77,185,right,unknown,NaN
josef-cihak/c036,Josef Cihak,CZE,1963-03-19,76,185,right,unknown,NaN
richey-reneberg/r016,Richey Reneberg,USA,1965-10-05,77,180,right,unknown,1987
alberto-tous/t025,Alberto Tous,ESP,1962-08-03,70,175,right,unknown,NaN
paul-vojtischek/v036,Paul Vojtischek,GER,1963-06-13,82,188,right,unknown,NaN
darren-cahill/c001,Darren Cahill,AUS,1965-10-02,84,188,right,one-handed,NaN
patrik-kuhnen/k030,Patrik Kuhnen,GER,1966-02-11,82,191,right,unknown,1985
christian-saceanu/s288,Christian Saceanu,GER,1968-07-08,80,191,right,unknown,1986
branislav-stankovic/s079,Branislav Stankovic,SVK,1965-05-30,75,175,right,unknown,NaN
petr-korda/k148,Petr Korda,CZE,1968-01-23,86,191,left,one-handed,1987
niclas-kroon/k133,Niclas Kroon,SWE,1966-02-05,82,183,right,two-handed,1986
claudio-pistolesi/p037,Claudio Pistolesi,ITA,1967-08-25,76,180,right,unknown,1985
michael-chang/c274,Michael Chang,USA,1972-02-22,73,175,right,two-handed,1988
jim-courier/c243,Jim Courier,USA,1970-08-17,83,185,right,unknown,1988
alberto-mancini/m372,Alberto Mancini,ARG,1969-05-20,79,180,right,unknown,1987
marcelo-filippini/f165,Marcelo Filippini,URU,1967-08-04,66,178,right,unknown,1987
javier-sanchez/s015,Javier Sanchez,ESP,1968-02-01,70,178,right,unknown,1986
jorge-lozano/l041,Jorge Lozano,MEX,1963-05-17,70,180,right,unknown,1986
pieter-aldrich/a066,Pieter Aldrich,RSA,1965-09-07,80,180,right,unknown,1987
jason-stoltenberg/s331,Jason Stoltenberg,AUS,1970-04-04,80,185,right,unknown,1987
alexander-volkov/v037,Alexander Volkov,RUS,1967-03-03,79,188,left,unknown,1988
joey-rive/r029,Joey Rive,USA,1963-07-08,82,185,left,unknown,1985
shuzo-matsuoka/m338,Shuzo Matsuoka,JPN,1967-11-06,80,185,right,unknown,1986
yahiya-doumbia/d098,Yahiya Doumbia,SEN,1963-08-25,75,185,right,unknown,1986
javier-frana/f041,Javier Frana,ARG,1966-12-25,77,185,left,unknown,1986
andrei-olhovskiy/o009,Andrei Olhovskiy,RUS,1966-04-15,73,185,right,unknown,1989
eduardo-masso/m031,Eduardo Masso,BEL,1964-01-11,78,178,left,unknown,1984
diego-nargiso/n109,Diego Nargiso,ITA,1970-03-15,82,188,left,unknown,1987
udo-riglewski/r023,Udo Riglewski,GER,1966-07-28,80,185,right,unknown,1985
franco-davin/d006,Franco Davin,ARG,1970-01-11,64,173,left,unknown,1986
jeff-tarango/t136,Jeff Tarango,USA,1968-11-20,73,180,left,unknown,1989
pete-sampras/s402,Pete Sampras,USA,1971-08-12,77,185,right,one-handed,1988
tobias-svantesson/s347,Tobias Svantesson,SWE,1963-04-01,86,193,right,unknown,1987
olli-rahnasto/r006,Olli Rahnasto,FIN,1965-12-28,68,183,right,unknown,1982
sergi-bruguera/b350,Sergi Bruguera,ESP,1971-01-16,76,188,right,unknown,1988
goran-prpic/p050,Goran Prpic,CRO,1964-05-04,75,180,right,unknown,1984
goran-ivanisevic/i034,Goran Ivanisevic,CRO,1971-09-13,82,193,left,two-handed,1988
marc-rosset/r214,Marc Rosset,SUI,1970-11-07,88,201,right,unknown,1988
omar-camporese/c009,Omar Camporese,ITA,1968-05-08,78,188,right,unknown,1987
jens-woehrmann/w144,Jens Woehrmann,GER,1967-09-08,73,180,right,unknown,NaN
andrew-sznajder/s102,Andrew Sznajder,CAN,1967-05-25,73,175,right,unknown,1988
paul-haarhuis/h223,Paul Haarhuis,NED,1966-02-19,80,188,right,unknown,1989
paul-chamberlin/c029,Paul Chamberlin,USA,1962-03-26,73,178,right,unknown,NaN
martin-strelba/s328,Martin Strelba,CZE,1967-03-22,79,191,right,unknown,1988
mark-koevermans/k016,Mark Koevermans,NED,1968-02-03,79,185,right,unknown,1987
david-wheaton/w123,David Wheaton,USA,1969-06-02,84,193,right,unknown,1988
jerome-potier/p043,Jerome Potier,FRA,1962-07-18,70,180,left,unknown,NaN
tomas-carbonell/c216,Tomas Carbonell,ESP,1968-08-07,72,178,right,unknown,1987
andrei-cherkasov/c260,Andrei Cherkasov,RUS,1970-07-04,75,180,right,unknown,1988
alex-antonitsch/a028,Alex Antonitsch,AUT,1966-02-08,85,188,right,unknown,1988
lars-anders-wahlgren/w001,Lars-Anders Wahlgren,SWE,1966-08-24,84,193,right,unknown,1985
grant-connell/c046,Grant Connell,CAN,1965-11-17,82,185,left,unknown,1986
tom-nijssen/n018,Tom Nijssen,NED,1964-10-01,70,173,right,one-handed,1984
michael-stich/s351,Michael Stich,GER,1968-10-18,79,193,right,one-handed,1988
richard-fromberg/f164,Richard Fromberg,AUS,1970-04-28,88,196,right,unknown,1988
todd-woodbridge/w136,Todd Woodbridge,AUS,1971-04-02,75,178,right,unknown,1988
nicklas-kulti/k181,Nicklas Kulti,SWE,1971-04-22,88,191,right,unknown,1989
magnus-larsson/l206,Magnus Larsson,SWE,1970-03-25,93,193,right,unknown,1989
thierry-champion/c028,Thierry Champion,FRA,1966-08-31,70,183,right,unknown,NaN
fabrice-santoro/s424,Fabrice Santoro,FRA,1972-12-09,74,178,right,two-handed,1989
gilad-bloom/b051,Gilad Bloom,ISR,1967-03-01,73,173,left,unknown,1986
veli-paloheimo/p004,Veli Paloheimo,FIN,1967-12-13,76,183,right,unknown,NaN
aki-rahunen/r193,Aki Rahunen,FIN,1971-12-24,60,175,right,unknown,NaN
mark-kratzmann/k021,Mark Kratzmann,AUS,1966-05-17,73,178,left,unknown,1984
renzo-furlan/f192,Renzo Furlan,ITA,1970-05-17,70,175,right,unknown,1988
guillaume-raoux/r186,Guillaume Raoux,FRA,1970-02-14,77,180,right,unknown,1989
alexander-mronz/m093,Alexander Mronz,GER,1965-04-07,78,188,right,unknown,1987
robbie-weiss/w011,Robbie Weiss,USA,1966-12-01,75,183,right,unknown,1988
francisco-clavet/c252,Francisco Clavet,ESP,1968-10-24,71,183,left,unknown,1988
malivai-washington/w124,MaliVai Washington,USA,1969-06-20,79,180,right,two-handed,1989
brian-garrow/g212,Brian Garrow,USA,1968-04-08,73,173,right,unknown,NaN
cristiano-caratti/c270,Cristiano Caratti,ITA,1970-05-24,77,178,right,unknown,1989
lars-jonsson/j084,Lars Jonsson,SWE,1970-06-27,70,188,right,unknown,1988
jan-siemerink/s381,Jan Siemerink,NED,1970-04-14,73,183,left,unknown,1989
patrick-mcenroe/m048,Patrick McEnroe,USA,1966-07-01,73,183,right,unknown,1988
olivier-delaitre/d015,Olivier Delaitre,FRA,1967-06-01,85,168,right,one-handed,1986
wayne-ferreira/f196,Wayne Ferreira,RSA,1971-09-15,91,185,right,two-handed,1989
richard-krajicek/k214,Richard Krajicek,NED,1971-12-06,95,196,right,one-handed,1989
cedric-pioline/p226,Cedric Pioline,FRA,1969-06-15,79,188,right,unknown,1989
arnaud-boetsch/b053,Arnaud Boetsch,FRA,1969-04-01,76,183,right,unknown,1987
carlos-costa/c179,Carlos Costa,ESP,1968-04-22,73,183,right,unknown,1988
markus-zoecke/z045,Markus Zoecke,GER,1968-05-10,86,196,right,unknown,1989
frederic-fontang/f200,Frederic Fontang,FRA,1970-03-18,70,183,right,unknown,1989
jaime-oncins/o076,Jaime Oncins,BRA,1970-06-16,82,196,right,unknown,1988
stefano-pescosolido/p235,Stefano Pescosolido,ITA,1971-06-13,86,185,right,unknown,1989
gabriel-markus/m412,Gabriel Markus,ARG,1970-03-31,76,180,right,unknown,1989
bryan-shelton/s380,Bryan Shelton,USA,1965-12-22,80,185,right,unknown,1989
gianluca-pozzi/p045,Gianluca Pozzi,ITA,1965-06-17,80,180,left,unknown,1984
german-lopez/l202,German Lopez,ESP,1971-12-29,80,193,right,unknown,1990
patrick-baur/b293,Patrick Baur,GER,1965-05-03,186,185,right,one-handed,1986
lars-koslowski/k202,Lars Koslowski,GER,1971-05-22,72,188,right,unknown,1989
bart-wuyts/w133,Bart Wuyts,BEL,1969-09-15,68,178,right,unknown,1988
rodolphe-gilbert/g108,Rodolphe Gilbert,FRA,1968-12-12,73,183,left,unknown,1988
roberto-azar/a040,Roberto Azar,ARG,1966-03-21,77,185,left,unknown,1984
fernando-roese/r036,Fernando Roese,BRA,1965-08-24,82,191,right,unknown,1982
henrik-holm/h191,Henrik Holm,SWE,1968-08-22,77,183,right,unknown,1988
andrei-medvedev/m475,Andrei Medvedev,UKR,1974-08-31,91,193,right,unknown,1991
bernd-karbacher/k190,Bernd Karbacher,GER,1968-04-03,73,185,right,unknown,1989
luis-herrera/h228,Luis Herrera,MEX,1971-08-27,62,170,left,unknown,1989
thomas-enqvist/e113,Thomas Enqvist,SWE,1974-03-13,88,191,right,two-handed,1991
marcos-ondruska/o098,Marcos Ondruska,RSA,1972-12-18,80,183,right,two-handed,1989
kenneth-carlsen/c328,Kenneth Carlsen,DEN,1973-04-17,88,191,left,unknown,1992
sandon-stolle/s443,Sandon Stolle,AUS,1970-07-13,79,193,right,unknown,1991
